#BC	xy	yx	adaptive	oblivious
0.02	30.42	30.39	30.44	31.33
0.04	31.24	31.17	31.37	34.13
0.06	31.93	31.8	32.36	40.54
0.08	32.86	32.59	34.13	1553.27
0.1	34.3	33.79	39.07	6072.9
0.12	36.19	35.23	115.9	9032.46
0.14	39.1	37.36	2777.13	12100.39
0.16	45.56	40.95	5778.69	13918.94
0.18	94.46	47.67	8170.44	15375.33
0.2	1066.07	70.98	10427.05	16726.11
0.22	4034.15	741.03	12238.65	17925.18
0.24	6607.32	3649.82	13764.35	19182.12
0.26	8590.5	6058.79	15035.98	19987.78
0.28	10342.76	7731.92	16196.66	20673.53
0.3	11111.39	9367.78	17168.26	21273.52
0.32	12288.15	10802.73	17887.39	21731.82
0.34	13563.59	11922.66	18621.28	22468.69
0.36	14499.4	12902.4	19265.66	22795.56
0.38	15327.75	13640.4	19895.47	23263.28
0.4	16078.7	14680.04	20382.59	23648.35
0.42	16620.73	15632.19	20880.56	24021.1
0.44	17668.46	15989.79	21332.02	24115.29
0.46	17838.48	16925.39	21686.68	24364.27
0.48	18519.23	17255.31	22083.45	24664.79
0.5	18999.74	18055.01	22348.43	24880.42
0.52	19436.46	18493.63	22679.74	25060.49
0.54	19875.21	18687.99	22982.09	25300.3
0.56	20350.13	19244.92	23276.62	25428.88
0.58	20472.75	19768.06	23555.46	25634.56
0.6	20816.62	20174.24	23769.84	25823.87
