#TP	xy	yx	adaptive	oblivious
0.02	22.03	22.07	22.11	22.28
0.04	22.64	22.61	22.64	23.09
0.06	23.22	23.21	23.22	24.06
0.08	24.04	23.95	23.84	25.54
0.1	25.47	25.44	24.78	28.17
0.12	28	29.64	26.33	34.6
0.14	87	115.38	28.42	508.42
0.16	557.88	552.93	32.68	1328.29
0.18	1274.77	1308.72	43.37	1989.45
0.2	1883.73	1961.18	294.19	2479.73
0.22	2595.3	2633.68	1206.94	2954.73
0.24	3074.49	3104.82	2180.98	3434.37
0.26	3911.55	3865.07	3034.21	3786.26
0.28	4629.99	4456.51	3868.64	4334.59
0.3	5185.59	4905.54	4582.59	4751.76
0.32	5755.1	5272.23	5317.41	5070.53
0.34	6436.08	5950.15	5948.93	5539.01
0.36	6986.55	6634.61	6582.11	5998.17
0.38	7577.7	7201.53	7101.54	6606.51
0.4	8006.41	7686.74	7656.54	7175.08
0.42	8303.49	8073.55	8076.01	7670.52
0.44	8649.68	8412.29	8449.26	8070.1
0.46	8843.07	8698.26	8878.94	8546.01
0.48	9065.79	8952.78	9320.26	8867.77
0.5	9215.15	9345.93	9625.13	9211.97
0.52	9533.8	9507.67	9895.1	9424.39
0.54	9482.18	9523.2	10161.53	9784.56
0.56	9747.18	9324.98	10401.75	10048.6
0.58	10220.19	9768.26	10626.03	10403.6
0.6	10428.75	9751.1	10899.4	10673.57
