#UR	xy	yx	adaptive	oblivious
0.02	21.87	21.91	21.89	22.05
0.04	22.76	22.73	22.74	23.19
0.06	23.14	23.12	23.1	23.93
0.08	23.65	23.59	23.6	24.8
0.1	24.33	24.23	24.28	26.2
0.12	24.88	24.74	24.96	27.66
0.14	25.66	25.48	25.81	29.86
0.16	26.68	26.42	26.97	35.16
0.18	27.73	27.51	28.62	153.62
0.2	29.17	28.68	30.52	2583.38
0.22	31.22	30.45	34.47	4716.57
0.24	34.45	33.1	51.43	6415.87
0.26	40.07	36.94	1353.53	8000.58
0.28	59.9	48.42	3294.96	9616.83
0.3	578.21	248.69	4967.16	10683.45
0.32	2056.64	1367.7	6583.75	11995.28
0.34	3629.14	2906.4	7937.84	13200.79
0.36	5042.24	4256.8	9222.65	13916.43
0.38	6288.57	5490.33	10314.08	15001.9
0.4	7394.27	6731.22	11299.25	15680.67
0.42	8600.03	7960.14	12157.08	16516.37
0.44	9621.05	8892.38	13114.8	17219.78
0.46	10575.98	9963.76	13891.19	17626.16
0.48	11430.3	10670.93	14413.39	18200.74
0.5	12135.64	11539.34	15096.17	18677.94
0.52	12914.43	12240.78	15854.39	19145.68
0.54	13555.97	12985.34	16345.14	19502.74
0.56	14099.46	13635.03	16985.15	20038.82
0.58	14676.74	14171.74	17322.28	20482.21
0.6	15340.82	14722.32	17878.75	20644.94
