#load	mesh	torus	hmesh	fat-tree	flbfly
0.02	30.43	24.26	25.06	31.55	17.27
0.04	31.26	24.66	25.58	32.13	17.93
0.06	32	25.06	25.88	32.62	18.52
0.08	33.05	25.43	26.21	33.03	19.17
0.10	34.63	25.92	26.61	33.46	20.03
0.12	36.75	26.33	26.97	33.84	21.04
0.14	40.11	26.96	27.38	34.3	22.46
0.16	46.79	27.68	27.79	34.85	24.54
0.18	101.93	28.48	28.17	35.45	27.91
0.20	881.2	29.44	28.64	36.11	33.61
0.22	1825.31	30.66	29.1	36.86	50.05
0.24	3756.13	32.14	29.79	37.91	401.73
0.26	7590.46	34.14	30.42	39	2007.96
0.28	9865.98	37.16	31.33	40.44	3217.62
0.30	11463.47	41.23	32.35	42.66	3824.96
0.32	12740.96	49.11	33.46	45.88	4670.08
0.34	13927.34	84.96	34.9	51.64	5745.25
0.36	14895.26	461.03	37.13	69.85	6794.23
0.38	15670.41	1048.45	40.08	554.26	7698.38
0.40	15670.41	1508.64	44.47	554.26	7698.38
0.42	15670.41	2129.38	52.82	554.26	7698.38
0.44	15670.41	3114.38	83.01	554.26	7698.38
0.46	15670.41	4106.44	222.09	554.26	7698.38
0.48	15670.41	5259.96	645.53	554.26	7698.38
