#load	mesh	torus	hmesh	fat-tree	flbfly
0.02	22.04	23.99	18.8	25.37	12.91
0.04	22.67	24.3	19.31	25.84	13.39
0.06	23.29	24.8	19.82	26.21	13.95
0.08	24.21	25.42	20.54	26.43	14.55
0.10	25.8	26.12	21.64	26.83	15.38
0.12	28.56	26.92	23.33	27.25	16.38
0.14	106.09	28.12	27.27	27.65	17.96
0.16	383.56	30.25	220.85	28.15	20.76
0.18	1079.61	33.77	636.6	28.68	29.21
0.20	1637.2	42.99	1214.32	29.24	578.64
0.22	2091.56	333.69	1858.68	29.95	1641.93
0.24	2800.72	1290.93	2651.41	30.78	2860.86
0.26	3692.67	1880.87	3315.44	31.74	5078.72
0.28	4090.74	2432.85	3837.39	33.02	5625.33
0.30	4361.87	3212.84	4390.81	34.83	6164.47
0.32	4608.11	4463.16	4848.66	37.37	5999.76
0.34	5317.19	5730.49	5361.93	41.39	7980.55
0.36	5678.38	6810.64	5752.75	51.68	8274.98
0.38	6270.96	7548.34	6381.99	152.32	8296.67
0.40	6270.96	8510.72	6758.04	152.32	8296.67
0.42	6270.96	9194.95	7198.71	152.32	8296.67
0.44	6270.96	9801.04	7040.23	152.32	8296.67
0.46	6270.96	10378.27	7280.55	152.32	8296.67
0.48	6270.96	10914.6	7028.26	152.32	8296.67
