#load	mesh	torus	hmesh	fat-tree	flbfly
0.02	21.87	23.93	18.85	26.99	13.47
0.04	22.77	24.75	19.49	27.53	14.3
0.06	23.16	25.11	19.77	28.14	14.96
0.08	23.69	25.55	20.09	28.66	15.72
0.10	24.4	26.14	20.5	29.22	16.84
0.12	24.99	26.63	20.82	29.71	18.03
0.14	25.77	27.25	21.28	30.3	20.24
0.16	26.85	28.01	21.73	30.95	24.01
0.18	27.94	28.72	22.16	31.79	32.94
0.20	29.37	29.63	22.66	32.78	70.13
0.22	31.24	30.77	23.22	33.97	948.09
0.24	33.76	32.17	23.86	35.5	2928.98
0.26	37.13	33.82	24.52	37.1	4691.51
0.28	42.43	36.05	25.28	39.86	6411.27
0.30	56.66	39.29	26.15	44.44	7648.47
0.32	227.37	43.84	27.12	53.31	9017.3
0.34	895.56	54.44	28.29	75.01	10305.66
0.36	1797.95	94.08	29.81	596.18	11452.34
0.38	2788.96	802.37	31.46	2089.04	12460.57
0.40	2788.96	2079.66	33.89	2089.04	12460.57
0.42	2788.96	3392.06	37.05	2089.04	12460.57
0.44	2788.96	4545.64	41.23	2089.04	12460.57
0.46	2788.96	5755.69	48.65	2089.04	12460.57
0.48	2788.96	6785.05	59.62	2089.04	12460.57
0.50	2788.96	6785.05	88.86	2089.04	12460.57
0.52	2788.96	6785.05	247.98	2089.04	12460.57
